actual_theta1,actual_theta2,actual_theta3,pred_theta1,pred_theta2,pred_theta3
100.0957653,-109.05699779999999,8.961232469999999,100.14991445690951,-109.29062915395083,8.171144214956321
89.04998704,-140.75795380000002,51.70796675,89.3954032724561,-140.9384795450563,54.003279680944814
87.7018638,-83.56987582,-4.131987981000002,87.71739507874427,-83.74042196995019,-5.473926046491741
86.02802408,-79.35795185,-6.670072228999999,85.97766754697058,-79.22788564516438,-8.721387561135238
50.32460857,-114.43983600000001,-295.8847726,50.17124584758357,-114.09392665913467,-297.69066002054666
37.45504588,-102.7044444,-294.7506015000001,37.17194061516249,-101.87364143894415,-301.42641615615173
76.93336181,-56.39146454,-20.54189728,76.82630470601012,-55.9858813501399,-23.2705363941591
102.74661590000001,-113.2827364,10.536120480000001,102.66584007463634,-113.2428134000846,8.1057206086234
119.05642079999998,-144.311054,25.254633229999996,119.0991370027604,-144.57545000225002,22.009198888914696
60.11094807,-122.4539169,-297.65703110000004,60.42869196401138,-122.63931561911305,-257.49958276679405
111.9420396,-124.8016154,12.859575820000003,111.9228242189021,-124.74147818348195,10.174868879272779
73.89938622,-49.4289402,-24.47044603,73.60441078785965,-48.5782515210755,-27.701208845662983
87.65142850000001,-82.87085421,-4.780574287,87.82178436407979,-83.30575045771789,-4.337652589787361
85.87046532,-77.96169256,-7.908772763999998,86.16132539954826,-78.47357906637475,-6.62959684525331
104.7995746,-116.15094599999999,11.351371450000002,104.52368131585285,-115.81690806903183,8.92486884582734
91.38202063,-141.93470200000002,50.55268133,91.69115609099813,-142.04969039585066,51.87124895216827
97.42872097,-104.7744647,7.345743747999997,97.47664271257922,-105.06240078893738,8.282974276788721
68.16816885,-36.720429769999996,-31.44773908,67.70682718988387,-35.91117243889963,-34.529422877945294
70.66140493,-130.2404003,59.57899537,71.14113628030412,-130.33710782552276,67.30205585363868
45.83848566,-110.4777107,-295.360775,45.4866681723786,-109.95488489654002,-298.2333786292115
102.78890009999999,-113.0970554,10.308155310000004,102.73585314362894,-112.9933085264264,8.385209028262643
101.1237946,-145.5478001,44.424005570000006,101.53268375860588,-145.8715305601461,44.073706382267716
33.16361558,-98.77722292,-294.3863927,32.91596934160463,-98.59108559660538,-304.4248912673279
112.39523030000001,-125.2997938,12.904563500000002,112.3618983678808,-125.24185751386429,10.287192318837405
113.677058,-146.5019584,32.82490048,114.05646157726397,-146.57969432396266,30.682496632886696
69.46608717,-129.5164699,60.050382690000006,69.96260803059748,-129.71879084905447,67.81250725916003
113.596106,-126.68073090000001,13.084624869999999,113.5524144365825,-126.53388358046266,10.7303185254043
88.82121158,-140.6380284,51.81681686,89.21217237628079,-140.82385628399754,54.055717057420054
107.6751865,-146.6547431,38.97955660000001,108.14655375410598,-146.72882512446162,37.688363565347785
121.25718300000001,-140.9724936,19.71531060000001,121.27998477200289,-141.005564047443,16.452330721173062
117.22775109999999,-130.993028,13.765276870000001,117.15211615498407,-130.99862741609465,11.259007324556556
48.16887562,-112.5067932,-295.66208240000003,47.89826612101179,-112.00462818602617,-297.6774444541348
83.59468751,-137.8136704,54.21898292,84.14587171853096,-137.96353834613225,58.13917241687301
79.5760411,-62.62801525,-16.94802585,79.65760680934636,-62.54540839141445,-18.172869973600612
53.48984121,-117.2241244,-296.2657168,53.623529529859155,-117.21593354651128,-298.06312605998204
71.72274172,-44.14511374999999,-27.57762798,72.06676397282669,-44.029314062668206,-27.465183329363086
99.37244853,-108.31247809999999,8.940029605999996,99.42815649643796,-108.44641362260337,8.066048355250153
67.51955903,-34.9386612,-32.58089782,67.8190661274997,-35.53926244268618,-33.104477576195976
93.32068415,-142.7470743,49.42639018999999,93.63645053348552,-142.89336593308587,50.21769346578877
96.82706397,-144.168891,47.34182700000001,97.16462360491857,-144.44073348271024,47.596851211716995
